,Survived,Pclass,Age,SibSp,Parch,Fare,Gender,Embarked
0,0,3,22.0,1,0,0,0,S
1,1,1,38.0,1,0,3,1,C
2,1,3,26.0,0,0,1,1,S
3,1,1,35.0,1,0,3,1,S
4,0,3,35.0,0,0,1,0,S
5,0,3,18.791621245318794,0,0,1,0,Q
6,0,1,54.0,0,0,3,0,S
7,0,3,2.0,3,1,2,0,S
8,1,3,27.0,0,2,1,1,S
9,1,2,14.0,1,0,2,1,C
10,1,3,4.0,1,1,2,1,S
11,1,1,58.0,0,0,2,1,S
12,0,3,20.0,0,0,1,0,S
13,0,3,39.0,1,5,3,0,S
14,0,3,14.0,0,0,0,1,S
15,1,2,55.0,0,0,2,1,S
16,0,3,2.0,4,1,2,0,Q
17,1,2,19.16419483092858,0,0,1,0,S
18,0,3,31.0,1,0,2,1,S
19,1,3,17.224354806308398,0,0,0,1,C
20,0,2,35.0,0,0,2,0,S
21,1,2,34.0,0,0,1,0,S
22,1,3,15.0,0,0,1,1,Q
23,1,1,28.0,0,0,3,0,S
24,0,3,8.0,3,1,2,1,S
25,1,3,38.0,1,5,3,1,S
26,0,3,25.72495616802068,0,0,0,0,C
27,0,1,19.0,3,2,3,0,S
28,1,3,40.99460249979613,0,0,0,1,Q
29,0,3,33.985567146418816,0,0,0,0,S
30,0,1,40.0,0,0,2,0,C
31,1,1,28.066967139970416,1,0,3,1,C
32,1,3,28.29211912662396,0,0,0,1,Q
33,0,2,66.0,0,0,1,0,S
34,0,1,28.0,1,0,3,0,C
35,0,1,42.0,1,0,3,0,S
36,1,3,18.744524563563232,0,0,0,0,C
37,0,3,21.0,0,0,1,0,S
38,0,3,18.0,2,0,2,1,S
39,1,3,14.0,1,0,1,1,C
40,0,3,40.0,1,0,1,1,S
41,0,2,27.0,1,0,2,1,S
42,0,3,37.631184000343424,0,0,0,0,C
43,1,2,3.0,1,2,3,1,C
44,1,3,19.0,0,0,0,1,Q
45,0,3,41.10738589578064,0,0,1,0,S
46,0,3,30.101668885803956,1,0,2,0,Q
47,1,3,31.570117466299408,0,0,0,1,Q
48,0,3,35.89062448233188,2,0,2,0,C
49,0,3,18.0,1,0,2,1,S
50,0,3,7.0,4,1,3,0,S
51,0,3,21.0,0,0,0,0,S
52,1,1,49.0,1,0,3,1,C
53,1,2,29.0,1,0,2,1,S
54,0,1,65.0,0,1,3,0,C
55,1,1,27.296151519547642,0,0,3,0,S
56,1,2,21.0,0,0,1,1,S
57,0,3,28.5,0,0,0,0,C
58,1,2,5.0,1,2,2,1,S
59,0,3,11.0,5,2,3,0,S
