,Unnamed: 0,Survived,Pclass,Age,SibSp,Parch,Fare,Gender,Embarked
0,0,0,3,1,1,0,0,0,0
1,1,1,1,2,1,0,3,1,1
2,2,1,3,1,0,0,1,1,0
3,3,1,1,2,1,0,3,1,0
4,4,0,3,2,0,0,1,0,0
5,5,0,3,1,0,0,1,0,2
6,6,0,1,3,0,0,3,0,0
7,7,0,3,0,3,1,2,0,0
8,8,1,3,1,0,2,1,1,0
9,9,1,2,0,1,0,2,1,1
10,10,1,3,0,1,1,2,1,0
11,11,1,1,3,0,0,2,1,0
12,12,0,3,1,0,0,1,0,0
13,13,0,3,2,1,5,3,0,0
14,14,0,3,0,0,0,0,1,0
15,15,1,2,3,0,0,2,1,0
16,16,0,3,0,4,1,2,0,2
17,17,1,2,1,0,0,1,0,0
18,18,0,3,1,1,0,2,1,0
19,19,1,3,1,0,0,0,1,1
20,20,0,2,2,0,0,2,0,0
21,21,1,2,2,0,0,1,0,0
22,22,1,3,0,0,0,1,1,2
23,23,1,1,1,0,0,3,0,0
24,24,0,3,0,3,1,2,1,0
25,25,1,3,2,1,5,3,1,0
26,26,0,3,1,0,0,0,0,1
27,27,0,1,1,3,2,3,0,0
28,28,1,3,2,0,0,0,1,2
29,29,0,3,2,0,0,0,0,0
30,30,0,1,2,0,0,2,0,1
31,31,1,1,1,1,0,3,1,1
32,32,1,3,1,0,0,0,1,2
33,33,0,2,4,0,0,1,0,0
34,34,0,1,1,1,0,3,0,1
35,35,0,1,2,1,0,3,0,0
36,36,1,3,1,0,0,0,0,1
37,37,0,3,1,0,0,1,0,0
38,38,0,3,1,2,0,2,1,0
39,39,1,3,0,1,0,1,1,1
40,40,0,3,2,1,0,1,1,0
41,41,0,2,1,1,0,2,1,0
42,42,0,3,2,0,0,0,0,1
43,43,1,2,0,1,2,3,1,1
44,44,1,3,1,0,0,0,1,2
45,45,0,3,2,0,0,1,0,0
46,46,0,3,1,1,0,2,0,2
47,47,1,3,1,0,0,0,1,2
48,48,0,3,2,2,0,2,0,1
49,49,0,3,1,1,0,2,1,0
50,50,0,3,0,4,1,3,0,0
51,51,0,3,1,0,0,0,0,0
52,52,1,1,3,1,0,3,1,1
53,53,1,2,1,1,0,2,1,0
54,54,0,1,4,0,1,3,0,1
55,55,1,1,1,0,0,3,0,0
56,56,1,2,1,0,0,1,1,0
57,57,0,3,1,0,0,0,0,1
58,58,1,2,0,1,2,2,1,0
59,59,0,3,0,5,2,3,0,0
60,60,0,3,1,0,0,0,0,1
61,61,1,1,2,0,0,3,1,0
62,62,0,1,2,1,0,3,0,0
63,63,0,3,0,3,2,2,0,0
64,64,0,1,1,0,0,2,0,1
65,65,1,3,1,1,1,2,0,1
66,66,1,2,1,0,0,1,1,0
67,67,0,3,1,0,0,1,0,0
68,68,1,3,1,4,2,1,1,0
69,69,0,3,1,2,0,1,0,0
70,70,0,2,1,0,0,1,0,0
71,71,0,3,0,5,2,3,1,0
72,72,0,2,1,0,0,3,0,0
73,73,0,3,1,1,0,2,0,1
74,74,1,3,1,0,0,3,0,0
75,75,0,3,1,0,0,0,0,0
76,76,0,3,1,0,0,0,0,0
77,77,0,3,1,0,0,1,0,0
78,78,1,2,0,0,2,2,0,0
79,79,1,3,1,0,0,1,1,0
80,80,0,3,1,0,0,1,0,0
81,81,1,3,1,0,0,1,0,0
82,82,1,3,2,0,0,0,1,2
83,83,0,1,1,0,0,3,0,0
84,84,1,2,1,0,0,1,1,0
85,85,1,3,2,3,0,2,1,0
86,86,0,3,0,1,3,3,0,0
87,87,0,3,2,0,0,1,0,0
88,88,1,1,1,3,2,3,1,0
89,89,0,3,1,0,0,1,0,0
90,90,0,3,1,0,0,1,0,0
91,91,0,3,1,0,0,0,0,0
92,92,0,1,2,1,0,3,0,0
93,93,0,3,1,1,2,2,0,0
94,94,0,3,3,0,0,0,0,0
95,95,0,3,2,0,0,1,0,0
96,96,0,1,4,0,0,3,0,1
97,97,1,1,1,0,1,3,0,1
98,98,1,2,2,0,1,2,1,0
99,99,0,2,2,1,0,2,0,0
100,100,0,3,1,0,0,0,1,0
101,101,0,3,2,0,0,0,0,0
102,102,0,1,1,0,1,3,0,0
103,103,0,3,2,0,0,1,0,0
104,104,0,3,2,2,0,1,0,0
105,105,0,3,1,0,0,0,0,0
106,106,1,3,1,0,0,0,1,0
107,107,1,3,1,0,0,0,0,0
108,108,0,3,2,0,0,0,0,0
109,109,1,3,1,1,0,2,1,2
110,110,0,1,2,0,0,3,0,0
111,111,0,3,0,1,0,2,1,1
112,112,0,3,1,0,0,1,0,0
113,113,0,3,1,1,0,1,1,0
114,114,0,3,1,0,0,2,1,1
115,115,0,3,1,0,0,1,0,0
116,116,0,3,4,0,0,0,0,2
117,117,0,2,1,1,0,2,0,0
118,118,0,1,1,0,1,3,0,1
119,119,0,3,0,4,2,3,1,0
120,120,0,2,1,2,0,3,0,0
121,121,0,3,0,0,0,1,0,0
122,122,0,2,2,1,0,2,0,1
123,123,1,2,2,0,0,1,1,0
124,124,0,1,3,0,1,3,0,0
125,125,1,3,0,1,0,1,0,1
126,126,0,3,1,0,0,0,0,2
127,127,1,3,1,0,0,0,0,0
128,128,1,3,1,1,1,2,1,1
129,129,0,3,2,0,0,0,0,0
130,130,0,3,2,0,0,0,0,1
131,131,0,3,1,0,0,0,0,0
132,132,0,3,2,1,0,2,1,0
133,133,1,2,1,1,0,2,1,0
134,134,0,2,1,0,0,1,0,0
135,135,0,2,1,0,0,2,0,1
136,136,1,1,1,0,2,2,1,0
137,137,0,1,2,1,0,3,0,0
138,138,0,3,0,0,0,1,0,0
139,139,0,1,1,0,0,3,0,1
140,140,0,3,2,0,2,2,1,1
141,141,1,3,1,0,0,0,1,0
142,142,1,3,1,1,0,2,1,0
143,143,0,3,1,0,0,0,0,2
144,144,0,2,1,0,0,1,0,0
145,145,0,2,1,1,1,3,0,0
146,146,1,3,1,0,0,0,0,0
147,147,0,3,0,2,2,3,1,0
148,148,0,2,2,0,2,2,0,0
